soal,versi-soal,prob_benar_menjawab,level,stanza,gpt,manual
Mana yang tidak menjadi bagian dari persiapan sebelum melakukan penelitian ilmiah,006v003,"0,17",3,Mana/NSD yang/S-- tidak/G-- menjadi/VSA bagian/NSD dari/R-- persiapan/NSD sebelum/S-- melakukan/VSA penelitian/NSD ilmiah/ASP,Mana/Y-- yang/S-- tidak/B-- menjadi/VSA bagian/NSD dari/R-- persiapan/NSD sebelum/R-- melakukan/VSA penelitian/NSD ilmiah/ASP,Mana/PRQ yang/S-- tidak/ADV menjadi/VBT bagian/NSD dari/R-- persiapan/NSV sebelum/ADV melakukan/VBT penelitian/NSD ilmiah/ADJ
"Di antara yang berikut ini, kegiatan manakah bukan termasuk dalam pengamatan",008v001,"0,77",1,"Di/R-- antara/R-- yang/S-- berikut/VSA ini/B-- ,/Z-- kegiatan/NSD mana/W-- kah/T-- bukan/G-- termasuk/R-- dalam/ASP pengamatan/NSD","Di/R-- antara/R-- yang/S-- berikut/NSD ini/T-- ,/Z-- kegiatan/NSD manakah/H-- PAD/PAD bukan/B-- termasuk/VSA dalam/R-- pengamatan/NSD","Di/R-- antara/R-- yang/S-- berikut/ADJ ini/PRD ,/Z-- kegiatan/NSD mana/PRQ kah/PRT bukan/ADV termasuk/VBI dalam/R-- pengamatan/NSV"
Mana di antara berikut yang bukan merupakan kegiatan pengamatan,008v002,"0,64",2,Mana/NSD di/R-- antara/R-- berikut/VSA yang/S-- bukan/G-- merupakan/O-- kegiatan/NSD pengamatan/NSD,Mana/Y-- di/R-- antara/R-- berikut/NSD yang/S-- bukan/B-- merupakan/VSA kegiatan/NSD pengamatan/NSD,Mana/PRQ di/PRD antara/R-- berikut/ADJ yang/S-- bukan/ADV merupakan/VBL kegiatan/NSD pengamatan/NSV
Berikut ini yang bukan merupakan kegiatan observasi adalah,008v003,"0,50",2,Berikut/VSA ini/B-- yang/S-- bukan/G-- merupakan/O-- kegiatan/NSD observasi/NSD adalah/O--,Berikut/NSD ini/T-- yang/S-- bukan/B-- merupakan/VSA kegiatan/NSD observasi/NSD adalah/VSA,Berikut/ADJ ini/PRD yang/S-- bukan/ADV merupakan/VBL kegiatan/NSD observasi/NSD adalah/VBL
"Pada penulisan makalah, terdapat bagian yang membahas pengolahan data yang disebut sebagai",009v001,"0,54",2,"Pada/R-- penulisan/NSD makalah/NSD ,/Z-- terdapat/VSP bagian/NSD yang/S-- membahas/VSA pengolahan/NSD data/NSD yang/S-- disebut/VSP sebagai/R--","Pada/R-- penulisan/NSD makalah/NSD ,/Z-- terdapat/VSA bagian/NSD yang/S-- membahas/VSA pengolahan/NSD data/NSD yang/S-- disebut/VSP sebagai/R--","Pada/R-- penulisan/NSV makalah/NSD ,/Z-- terdapat/VBI bagian/NSD yang/S-- membahas/VBT pengolahan/NSV data/NSD yang/S-- disebut/VSP sebagai/R--"
"Pada penulisan makalah terdapat bab yang membahas pengolahan data, yaitu bagian",009v002,"0,57",2,"Pada/R-- penulisan/NSD makalah/NSD terdapat/VSP bab/NSD yang/S-- membahas/VSA pengolahan/NSD data/NSD ,/Z-- yaitu/O-- bagian/NSD","Pada/R-- penulisan/NSD makalah/NSD terdapat/VSA bab/NSD yang/S-- membahas/VSA pengolahan/NSD data/NSD ,/Z-- yaitu/R-- bagian/NSD","Pada/R-- penulisan/NSV makalah/NSD terdapat/VBI bab/NSD yang/S-- membahas/VBT pengolahan/NSV data/NSD ,/Z-- yaitu/O-- bagian/NSD"
"Saat Anda menulis makalah, bagian yang membahas pengolahan data disebut",009v003,"0,75",1,"Saat/NSD Anda/PS2 menulis/VSA makalah/NSD ,/Z-- bagian/NSD yang/S-- membahas/VSA pengolahan/NSD data/NSD disebut/VSP","Saat/R-- Anda/G-- menulis/VSA makalah/NSD ,/Z-- bagian/NSD yang/S-- membahas/VSA pengolahan/NSD data/NSD disebut/VSP","Saat/NSD Anda/PRP menulis/VBT makalah/NSD ,/Z-- bagian/NSD yang/S-- membahas/VBT pengolahan/NSV data/NSD disebut/VSP"
"Sampai saat ini, tidak ada obat untuk penyakit AIDS. Para ahli melakukan penelitian untuk memahami aktivitas Virus HIV di tingkat organisasi kehidupan, yaitu",010v001,"0,25",3,"Sampai/R-- saat/NSD ini/B-- ,/Z-- tidak/G-- ada/ASP obat/NSD untuk/R-- penyakit/NSD AIDS/F-- ./Z-- Para/B-- ahli/NSD melakukan/VSA penelitian/NSD untuk/R-- memahami/VSA aktivitas/NSD Virus/F-- HIV/X-- di/R-- tingkat/NSD organisasi/NSD kehidupan/NSD ,/Z-- yaitu/O--","Sampai/R-- saat/NSD ini/R-- ,/Z-- tidak/R-- ada/VSB obat/NSB untuk/R-- penyakit/NSB AIDS/NSB ./Z-- Para/PRN ahli/NSB melakukan/VSA penelitian/NSB untuk/R-- memahami/VSA aktivitas/NSB Virus/NSB HIV/NSB di/R-- tingkat/NSB organisasi/NSB kehidupan/NSB ,/Z-- yaitu/R--","Sampai/R-- saat/NSD ini/PRD ,/Z-- tidak/ADV ada/VBI obat/NSD untuk/R-- penyakit/NSD AIDS/X-- ./Z-- Para/DET ahli/NSD melakukan/VBT penelitian/NSD untuk/R-- memahami/VBT aktivitas/NSD Virus/NSD HIV/NSD di/PRD tingkat/NSD organisasi/NSD kehidupan/NSD ,/Z-- yaitu/O--"
"Saat ini, belum ada obat yang efektif untuk AIDS. Ahli sedang melakukan penelitian untuk memahami aktivitas Virus HIV pada tingkat kehidupan, yakni",010v002,"0,25",3,"Saat/NSD ini/B-- ,/Z-- belum/G-- ada/ASP obat/NSD yang/S-- efektif/ASP untuk/R-- AIDS/X-- ./Z-- Ahli/NSD sedang/D-- melakukan/VSA penelitian/NSD untuk/R-- memahami/VSA aktivitas/NSD Virus/F-- HIV/X-- pada/R-- tingkat/NSD kehidupan/NSD ,/Z-- yakni/O--","Saat/R-- ini/T-- ,/Z-- belum/B-- ada/VSA obat/NSD yang/S-- efektif/ASP untuk/R-- AIDS/X-- ./Z-- Ahli/NSD sedang/B-- melakukan/VSA penelitian/NSD untuk/R-- memahami/VSA aktivitas/NSD Virus/X-- HIV/X-- pada/R-- tingkat/NSD kehidupan/NSD ,/Z-- yakni/R--","Saat/NSD ini/PRD ,/Z-- belum/ADV ada/VBI obat/NSD yang/S-- efektif/ADJ untuk/R-- AIDS/NSD ./Z-- Ahli/NSD sedang/ADV melakukan/VBT penelitian/NSD untuk/R-- memahami/VBT aktivitas/NSD Virus/NSD HIV/NSD pada/R-- tingkat/NSD kehidupan/NSD ,/Z-- yakni/O--"
"Sampai sekarang, belum ada obat yang tersedia untuk AIDS. Penelitian sedang dilakukan oleh para ahli untuk memahami aktivitas Virus HIV di tingkat organisasi kehidupan, yaitu",010v003,"0,57",2,"Sampai/R-- sekarang/D-- ,/Z-- belum/G-- ada/ASP obat/NSD yang/S-- tersedia/ASP untuk/R-- AIDS/F-- ./Z-- Penelitian/NSD sedang/D-- dilakukan/VSP oleh/R-- para/B-- ahli/NSD untuk/R-- memahami/VSA aktivitas/NSD Virus/F-- HIV/X-- di/R-- tingkat/NSD organisasi/NSD kehidupan/NSD ,/Z-- yaitu/O--","Sampai/R-- sekarang/T-- ,/Z-- belum/B-- ada/VSA obat/NSD yang/S-- tersedia/ASP untuk/R-- AIDS/X-- ./Z-- Penelitian/NSD sedang/B-- dilakukan/VSP oleh/R-- para/G-- ahli/NSD untuk/R-- memahami/VSA aktivitas/NSD Virus/X-- HIV/X-- di/R-- tingkat/NSD organisasi/NSD kehidupan/NSD ,/Z-- yaitu/R--","Sampai/R-- sekarang/NSD ,/Z-- belum/ADV ada/VBI obat/NSD yang/S-- tersedia/VBI untuk/R-- AIDS/NSD ./Z-- Penelitian/NSD sedang/ADV dilakukan/VSP oleh/R-- para/DET ahli/NSD untuk/R-- memahami/VBT aktivitas/NSD Virus/NSD HIV/NSD di/PRD tingkat/NSD organisasi/NSD kehidupan/NSD ,/Z-- yaitu/O--"
Dinding sel bakteri terbuat dari campuran polisakarida dan protein. Campuran ini disebut dengan,011v001,"0,77",1,Dinding/NSD sel/NSD bakteri/NSD terbuat/VSP dari/R-- campuran/NSD polisakarida/X-- dan/H-- protein/NSD ./Z-- Campuran/NSD ini/B-- disebut/VSP dengan/R--,Dinding/NSD sel/NSD bakteri/NSD terbuat/VSP dari/R-- campuran/NSD polisakarida/X-- dan/CC- protein/X-- ./Z-- Campuran/NSD ini/T-- disebut/VSP dengan/R--,Dinding/NSD sel/NSD bakteri/NSD terbuat/VSP dari/R-- campuran/NSD polisakarida/NSD dan/CCA protein/NSD ./Z-- Campuran/NSD ini/PRD disebut/VSP dengan/R--
Dinding sel bakteri terbentuk dari kombinasi polisakarida dan protein. Kombinasi ini dikenal sebagai,011v002,"0,67",2,Dinding/NSD sel/NSD bakteri/NSD terbentuk/VSP dari/R-- kombinasi/NSD polisakarida/X-- dan/H-- protein/NSD ./Z-- Kombinasi/NSD ini/B-- dikenal/VSP sebagai/R--,Dinding/NSD sel/NSD bakteri/NSD terbentuk/VSP dari/R-- kombinasi/NSD polisakarida/X-- dan/CC- protein/X-- ./Z-- Kombinasi/NSD ini/T-- dikenal/VSP sebagai/R--,Dinding/NSD sel/NSD bakteri/NSD terbentuk/VSP dari/R-- kombinasi/NSD polisakarida/NSD dan/CCA protein/NSD ./Z-- Kombinasi/NSD ini/PRD dikenal/VSP sebagai/ADV
Dinding sel bakteri terdiri dari polisakarida dan protein yang bergabung. Gabungan ini disebut,011v003,"0,33",2,Dinding/NSD sel/NSD bakteri/NSD terdiri/VSP dari/R-- polisakarida/X-- dan/H-- protein/NSD yang/S-- bergabung/VSA ./Z-- Gabungan/NSD ini/B-- disebut/VSP,Dinding/NSD sel/NSD bakteri/NSD terdiri/VSA dari/R-- polisakarida/X-- dan/CC- protein/X-- yang/S-- bergabung/VSA ./Z-- Gabungan/NSD ini/T-- disebut/VSP,Dinding/NSD sel/NSD bakteri/NSD terdiri/VBI dari/R-- polisakarida/NSD dan/CCA protein/NSD yang/S-- bergabung/VBI ./Z-- Gabungan/NSD ini/PRD disebut/VSP
Film Hollywood terkenal Jurassic Park bercerita tentang kehidupan hewan purba. Ilmu biologi yang digunakan adalah,012v001,"0,53",2,Film/NSD Hollywood/F-- terkenal/VSP Jurassic/F-- Park/F-- bercerita/VSA tentang/VSA kehidupan/NSD hewan/NSD purba/ASP ./Z-- Ilmu/NSD biologi/NSD yang/S-- digunakan/VSP adalah/O--,Film/NSD Hollywood/X-- terkenal/ASP Jurassic/X-- Park/X-- bercerita/VSA tentang/R-- kehidupan/NSD hewan/NSD purba/ASP ./Z-- Ilmu/NSD biologi/NSD yang/S-- digunakan/VSP adalah/VSA,Film/NSD Hollywood/NSP terkenal/ADJ Jurassic/F-- Park/F-- bercerita/VBI tentang/R-- kehidupan/NSD hewan/NSD purba/ADJ ./Z-- Ilmu/NSD biologi/NSD yang/S-- digunakan/VSP adalah/VBL
Pembuatan film Jurassic Park yang terkenal di Hollywood menceritakan tentang hewan-hewan purba. Ilmu biologi yang terlibat adalah,012v002,"0,17",3,Pembuatan/NSD film/NSD Jurassic/F-- Park/F-- yang/S-- terkenal/VSP di/R-- Hollywood/F-- menceritakan/VSA tentang/VSA hewan-hewan/NSD PAD/PAD PAD/PAD purba/ASP ./Z-- Ilmu/NSD biologi/NSD yang/S-- terlibat/VSP adalah/O--,Pembuatan/NSD film/NSD Jurassic/X-- Park/X-- yang/S-- terkenal/ASP di/R-- Hollywood/X-- menceritakan/VSA tentang/R-- hewan-hewan/NSD PAD/PAD PAD/PAD purba/ASP ./Z-- Ilmu/NSD biologi/NSD yang/S-- terlibat/VSP adalah/VSA,Pembuatan/NSV film/NSD Jurassic/F-- Park/F-- yang/S-- terkenal/ADJ di/PRD Hollywood/NSP menceritakan/VBT tentang/R-- hewan/NSD -/Z-- hewan/NSD purba/NSD ./Z-- Ilmu/NSD biologi/NSD yang/S-- terlibat/VBL adalah/VBL
"Jurassic Park, film Hollywood terkenal, mengisahkan kehidupan hewan purba. Ilmu biologi yang berperan adalah",012v003,"0,50",2,"Jurassic/F-- Park/F-- ,/Z-- film/NSD Hollywood/F-- terkenal/VSP ,/Z-- mengisahkan/VSA kehidupan/NSD hewan/NSD purba/ASP ./Z-- Ilmu/NSD biologi/NSD yang/S-- berperan/VSA adalah/O--","Jurassic/X-- Park/X-- ,/Z-- film/NSD Hollywood/X-- terkenal/ASP ,/Z-- mengisahkan/VSA kehidupan/NSD hewan/NSD purba/ASP ./Z-- Ilmu/NSD biologi/NSD yang/S-- berperan/VSA adalah/VSA","Jurassic/F-- Park/F-- ,/Z-- film/NSD Hollywood/NSP terkenal/ADJ ,/Z-- mengisahkan/VBT kehidupan/NSD hewan/NSD purba/ADJ ./Z-- Ilmu/NSD biologi/NSD yang/Z-- berperan/VBI adalah/VBL"
Manfaat biologi di bidang peternakan adalah,014v001,"0,39",2,Manfaat/NSD biologi/NSD di/R-- bidang/NSD peternakan/NSD adalah/O--,Manfaat/NSD biologi/NSD di/R-- bidang/NSD peternakan/NSD adalah/VSA,Manfaat/NSD biologi/NSD di/PRD bidang/NSD peternakan/NSD adalah/VBL
Berikut manfaat biologi di bidang peternakan adalah,014v002,"0,07",3,Berikut/VSA manfaat/NSD biologi/NSD di/R-- bidang/NSD peternakan/NSD adalah/O--,Berikut/NSD manfaat/NSD biologi/NSD di/R-- bidang/NSD peternakan/NSD adalah/VSA,Berikut/ADJ manfaat/NSD biologi/NSD di/PRD bidang/NSD peternakan/NSD adalah/VBL
Biologi memberikan manfaat berikut dalam peternakan,014v003,"0,83",1,Biologi/NSD memberikan/VSA manfaat/NSD berikut/VSA dalam/ASP peternakan/NSD,Biologi/NSD memberikan/VSA manfaat/NSD berikut/NSD dalam/R-- peternakan/NSD,Biologi/NSD memberikan/VBT manfaat/NSD berikut/ADJ dalam/R-- peternakan/NSD
Peneliti mengamati perilaku harimau Sumatera. Pengamatan ini dilakukan pada tingkat,015v001,"0,39",2,Peneliti/NSD mengamati/VSA perilaku/NSD harimau/X-- Sumatera/NSD ./Z-- Pengamatan/NSD ini/B-- dilakukan/VSP pada/R-- tingkat/NSD,Peneliti/NSD mengamati/VSA perilaku/NSD harimau/NSD Sumatera/X-- ./Z-- Pengamatan/NSD ini/T-- dilakukan/VSP pada/R-- tingkat/NSD,Peneliti/NSD mengamati/VBT perilaku/NSD harimau/NSD Sumatera/NSP ./Z-- Pengamatan/NSD ini/PRD dilakukan/VSP pada/R-- tingkat/NSD
Sekelompok peneliti melakukan pengamatan terhadap perilaku sekumpulan harimau Sumatera (Panthera tigris sumatrae). Pengamatan yang dilakukan oleh sekelompok ini dilakukan pada tingkat,015v002,"0,67",2,Sekelompok/ASP peneliti/NSD melakukan/VSA pengamatan/NSD terhadap/R-- perilaku/NSD sekumpulan/X-- harimau/X-- Sumatera/NSD (/Z-- Panthera/X-- tigris/X-- sumatrae/X-- )/Z-- ./Z-- Pengamatan/NSD yang/S-- dilakukan/VSP oleh/R-- sekelompok/ASP ini/B-- dilakukan/VSP pada/R-- tingkat/NSD,Sekelompok/NSD peneliti/NSD melakukan/VSA pengamatan/NSD terhadap/R-- perilaku/NSD sekumpulan/NSD harimau/NSD Sumatera/X-- (/Z-- Panthera/X-- tigris/X-- sumatrae/X-- )/Z-- ./Z-- Pengamatan/NSD yang/S-- dilakukan/VSP oleh/R-- sekelompok/NSD ini/T-- dilakukan/VSP pada/R-- tingkat/NSD,Sekelompok/NUM peneliti/NSD melakukan/VBT pengamatan/NSD terhadap/R-- perilaku/NSD sekumpulan/NUM harimau/NSD Sumatera/NSP (/Z-- Panthera/F-- tigris/F-- sumatrae/F-- )/Z-- ./Z-- Pengamatan/NSD yang/S-- dilakukan/VBT oleh/R-- sekelompok/NUM ini/PRD dilakukan/VSP pada/R-- tingkat/NSD
Peneliti mempelajari perilaku harimau Sumatera. Studi ini dilakukan pada tingkat,015v003,"0,67",2,Peneliti/NSD mempelajari/VSA perilaku/NSD harimau/X-- Sumatera/NSD ./Z-- Studi/NSD ini/B-- dilakukan/VSP pada/R-- tingkat/NSD,Peneliti/NSD mempelajari/VSA perilaku/NSD harimau/NSD Sumatera/X-- ./Z-- Studi/NSD ini/T-- dilakukan/VSP pada/R-- tingkat/NSD,Peneliti/NSD mempelajari/VBT perilaku/NSD harimau/NSD Sumatera/NSP ./Z-- Studi/NSD ini/PRD dilakukan/VSP pada/R-- tingkat/NSD
Tumbuhan yang termasuk dalam tingkatan satu gen adalah,018v001,"0,57",2,Tumbuhan/NSD yang/S-- termasuk/R-- dalam/ASP tingkatan/NSD satu/CC- gen/NSD adalah/O--,Tumbuhan/NSD yang/S-- termasuk/VSA dalam/R-- tingkatan/NSD satu/O-- gen/NSD adalah/VSA,Tumbuhan/NSD yang/S-- termasuk/VBI dalam/R-- tingkatan/NSD satu/NUM gen/NSD adalah/VBL
Kelompok tumbuhan yang merupakan tingkatan satu gen adalah,018v002,"0,71",1,Kelompok/NSD tumbuhan/NSD yang/S-- merupakan/O-- tingkatan/NSD satu/CC- gen/NSD adalah/O--,Kelompok/NSD tumbuhan/NSD yang/S-- merupakan/VSA tingkatan/NSD satu/O-- gen/NSD adalah/VSA  ,Kelompok/NUM tumbuhan/NSD yang/S-- merupakan/VBL tingkatan/NSD satu/NUM gen/NSD adalah/VBL
Kelompok tumbuhan di tingkatan satu gen adalah,018v003,"0,50",2,Kelompok/NSD tumbuhan/NSD di/R-- tingkatan/NSD satu/CC- gen/NSD adalah/O--,Kelompok/NSD tumbuhan/NSD di/R-- tingkatan/NSD satu/O-- gen/NSD adalah/VSA  ,Kelompok/NUM tumbuhan/NSD di/PRD tingkatan/NSD satu/NUM gen/NSD adalah/VBL
Beberapa bakteri hidup bebas di lingkungan dan bisa membuat makanannya sendiri. Sifat hidup seperti ini disebut,022v001,"0,59",2,Beberapa/B-- bakteri/NSD hidup/NSD bebas/ASP di/R-- lingkungan/NSD dan/H-- bisa/M-- membuat/VSA makanan/NSD nya/PS3 sendiri/ASP ./Z-- Sifat/NSD hidup/NSD seperti/R-- ini/B-- disebut/VSP,Beberapa/O-- bakteri/NSD hidup/VSA bebas/ASP di/R-- lingkungan/NSD dan/CC- bisa/VSA membuat/VSA makanannya/NSD PAD/PAD sendiri/ASP ./Z-- Sifat/NSD hidup/VSA seperti/R-- ini/T-- disebut/VSP  ,Beberapa/NUM bakteri/NSD hidup/VBI bebas/ADJ di/PRD lingkungan/NSD dan/CCA bisa/VSA membuat/VBT makanan/NSD nya/PRF sendiri/ADJ ./Z-- Sifat/NSD hidup/VBI seperti/R-- ini/PRD disebut/VSP
Bakteri tertentu dapat hidup bebas di lingkungan dan membuat makanannya sendiri. Sifat hidup seperti ini disebut,022v002,"0,60",2,Bakteri/NSD tertentu/B-- dapat/VSA hidup/NSD bebas/ASP di/R-- lingkungan/NSD dan/H-- membuat/VSA makanan/NSD nya/PS3 sendiri/ASP ./Z-- Sifat/NSD hidup/NSD seperti/R-- ini/B-- disebut/VSP,Bakteri/NSD tertentu/ASP dapat/VSA hidup/VSA bebas/ASP di/R-- lingkungan/NSD dan/CC- membuat/VSA makanannya/NSD PAD/PAD sendiri/ASP ./Z-- Sifat/NSD hidup/VSA seperti/R-- ini/T-- disebut/VSP  ,Bakteri/NSD tertentu/B-- dapat/VSA hidup/VBI bebas/ADJ di/R-- lingkungan/NSD dan/R-- membuat/VBT makanan/NSD nya/PRF sendiri/ADJ ./Z-- Sifat/NSD hidup/VBI seperti/R-- ini/PRD disebut/VSP
Sebagian bakteri hidup bebas di lingkungan dan dapat menyintesis makanannya sendiri. Sifat hidup seperti ini disebut,022v003,"0,86",1,Sebagian/ASP bakteri/NSD hidup/NSD bebas/ASP di/R-- lingkungan/NSD dan/H-- dapat/VSA menyintesis/VSA makanan/NSD nya/PS3 sendiri/ASP ./Z-- Sifat/NSD hidup/NSD seperti/R-- ini/B-- disebut/VSP,Sebagian/O-- bakteri/NSD hidup/VSA bebas/ASP di/R-- lingkungan/NSD dan/CC- dapat/VSA menyintesis/VSA makanannya/NSD PAD/PAD sendiri/ASP ./Z-- Sifat/NSD hidup/VSA seperti/R-- ini/T-- disebut/VSP  ,Sebagian/NUM bakteri/NSD hidup/NSD bebas/ADJ di/PRD lingkungan/NSD dan/CCA dapat/VSA menyintesis/VBT makanan/NSD nya/PRF sendiri/ADV ./Z-- Sifat/NSD hidup/VBI seperti/R-- ini/PRD disebut/VSP
