soal,versi-soal,prob_benar_menjawab,level,gpt,taksonomi_bloom
"Terdapat kumpulan kelompok belalang, semut, dan rumput yang akan membentuk",005v002,"0,83",1,"Terdapat/VSA kumpulan/NSD kelompok/NSD belalang/NSD ,/Z-- semut/NSD ,/Z-- dan/CC- rumput/NSD yang/S-- akan/R-- membentuk/VSA",C2-Memahami
"Di suatu tempat terdapat kumpulan kelompok belalang,kelompok semut dan kelompok rumput. Kumpulan kelompok tersebut akan membentuk",005v003,"0,43",2,"Di/R-- suatu/NSD tempat/NSD terdapat/VSA kumpulan/NSD kelompok/NSD belalang/NSD ,/Z-- kelompok/NSD semut/NSD dan/CC- kelompok/NSD rumput/NSD ./Z-- Kumpulan/NSD kelompok/NSD tersebut/PRN akan/T-- membentuk/VSA",C2-Memahami
Pilihlah yang tidak termasuk dalam persiapan sebelum melakukan penelitian ilmiah,006v001,"0,36",2,Pilihlah/VSA PAD/PAD yang/S-- tidak/B-- termasuk/VSA dalam/R-- persiapan/NSD sebelum/R-- melakukan/VSA penelitian/NSD ilmiah/ASP,C1-Mengingat
Pilihlah mana yang bukan termasuk  hal yang disiapkan sebelum melakukan penelitian ilmiah,006v002,"0,67",2,Pilihlah/VSA PAD/PAD mana/Y-- yang/S-- bukan/B-- termasuk/VSA hal/NSD yang/S-- disiapkan/VSP sebelum/R-- melakukan/VSA penelitian/NSD ilmiah/ASP,C1-Mengingat
Mana yang tidak menjadi bagian dari persiapan sebelum melakukan penelitian ilmiah,006v003,"0,17",3,Mana/Y-- yang/S-- tidak/B-- menjadi/VSA bagian/NSD dari/R-- persiapan/NSD sebelum/R-- melakukan/VSA penelitian/NSD ilmiah/ASP,C1-Mengingat
"Di antara yang berikut ini, kegiatan manakah bukan termasuk dalam pengamatan",008v001,"0,77",1,"Di/R-- antara/R-- yang/S-- berikut/NSD ini/T-- ,/Z-- kegiatan/NSD manakah/H-- PAD/PAD bukan/B-- termasuk/VSA dalam/R-- pengamatan/NSD",C1-Mengingat
Mana di antara berikut yang bukan merupakan kegiatan pengamatan,008v002,"0,64",2,Mana/Y-- di/R-- antara/R-- berikut/NSD yang/S-- bukan/B-- merupakan/VSA kegiatan/NSD pengamatan/NSD,C1-Mengingat
Berikut ini yang bukan merupakan kegiatan observasi adalah,008v003,"0,50",2,Berikut/NSD ini/T-- yang/S-- bukan/B-- merupakan/VSA kegiatan/NSD observasi/NSD adalah/VSA,C1-Mengingat
"Pada penulisan makalah, terdapat bagian yang membahas pengolahan data yang disebut sebagai",009v001,"0,54",2,"Pada/R-- penulisan/NSD makalah/NSD ,/Z-- terdapat/VSA bagian/NSD yang/S-- membahas/VSA pengolahan/NSD data/NSD yang/S-- disebut/VSP sebagai/R--",C1-Mengingat
"Pada penulisan makalah terdapat bab yang membahas pengolahan data, yaitu bagian",009v002,"0,57",2,"Pada/R-- penulisan/NSD makalah/NSD terdapat/VSA bab/NSD yang/S-- membahas/VSA pengolahan/NSD data/NSD ,/Z-- yaitu/R-- bagian/NSD",C1-Mengingat
"Saat Anda menulis makalah, bagian yang membahas pengolahan data disebut",009v003,"0,75",1,"Saat/R-- Anda/G-- menulis/VSA makalah/NSD ,/Z-- bagian/NSD yang/S-- membahas/VSA pengolahan/NSD data/NSD disebut/VSP",C1-Mengingat
"Sampai saat ini, tidak ada obat untuk penyakit AIDS. Para ahli melakukan penelitian untuk memahami aktivitas Virus HIV di tingkat organisasi kehidupan, yaitu",010v001,"0,25",3,"Sampai/R-- saat/NSD ini/R-- ,/Z-- tidak/R-- ada/VSB obat/NSB untuk/R-- penyakit/NSB AIDS/NSB ./Z-- Para/PRN ahli/NSB melakukan/VSA penelitian/NSB untuk/R-- memahami/VSA aktivitas/NSB Virus/NSB HIV/NSB di/R-- tingkat/NSB organisasi/NSB kehidupan/NSB ,/Z-- yaitu/R--",C2-Memahami
"Saat ini, belum ada obat yang efektif untuk AIDS. Ahli sedang melakukan penelitian untuk memahami aktivitas Virus HIV pada tingkat kehidupan, yakni",010v002,"0,25",3,"Saat/R-- ini/T-- ,/Z-- belum/B-- ada/VSA obat/NSD yang/S-- efektif/ASP untuk/R-- AIDS/X-- ./Z-- Ahli/NSD sedang/B-- melakukan/VSA penelitian/NSD untuk/R-- memahami/VSA aktivitas/NSD Virus/X-- HIV/X-- pada/R-- tingkat/NSD kehidupan/NSD ,/Z-- yakni/R--",C2-Memahami
"Sampai sekarang, belum ada obat yang tersedia untuk AIDS. Penelitian sedang dilakukan oleh para ahli untuk memahami aktivitas Virus HIV di tingkat organisasi kehidupan, yaitu",010v003,"0,57",2,"Sampai/R-- sekarang/T-- ,/Z-- belum/B-- ada/VSA obat/NSD yang/S-- tersedia/ASP untuk/R-- AIDS/X-- ./Z-- Penelitian/NSD sedang/B-- dilakukan/VSP oleh/R-- para/G-- ahli/NSD untuk/R-- memahami/VSA aktivitas/NSD Virus/X-- HIV/X-- di/R-- tingkat/NSD organisasi/NSD kehidupan/NSD ,/Z-- yaitu/R--",C2-Memahami
Dinding sel bakteri terbuat dari campuran polisakarida dan protein. Campuran ini disebut dengan,011v001,"0,77",1,Dinding/NSD sel/NSD bakteri/NSD terbuat/VSP dari/R-- campuran/NSD polisakarida/X-- dan/CC- protein/X-- ./Z-- Campuran/NSD ini/T-- disebut/VSP dengan/R--,C1-Mengingat
Dinding sel bakteri terbentuk dari kombinasi polisakarida dan protein. Kombinasi ini dikenal sebagai,011v002,"0,67",2,Dinding/NSD sel/NSD bakteri/NSD terbentuk/VSP dari/R-- kombinasi/NSD polisakarida/X-- dan/CC- protein/X-- ./Z-- Kombinasi/NSD ini/T-- dikenal/VSP sebagai/R--,C1-Mengingat
Dinding sel bakteri terdiri dari polisakarida dan protein yang bergabung. Gabungan ini disebut,011v003,"0,33",2,Dinding/NSD sel/NSD bakteri/NSD terdiri/VSA dari/R-- polisakarida/X-- dan/CC- protein/X-- yang/S-- bergabung/VSA ./Z-- Gabungan/NSD ini/T-- disebut/VSP,C1-Mengingat
Film Hollywood terkenal Jurassic Park bercerita tentang kehidupan hewan purba. Ilmu biologi yang digunakan adalah,012v001,"0,53",2,Film/NSD Hollywood/X-- terkenal/ASP Jurassic/X-- Park/X-- bercerita/VSA tentang/R-- kehidupan/NSD hewan/NSD purba/ASP ./Z-- Ilmu/NSD biologi/NSD yang/S-- digunakan/VSP adalah/VSA,C2-Memahami
Pembuatan film Jurassic Park yang terkenal di Hollywood menceritakan tentang hewan-hewan purba. Ilmu biologi yang terlibat adalah,012v002,"0,17",3,Pembuatan/NSD film/NSD Jurassic/X-- Park/X-- yang/S-- terkenal/ASP di/R-- Hollywood/X-- menceritakan/VSA tentang/R-- hewan-hewan/NSD PAD/PAD PAD/PAD purba/ASP ./Z-- Ilmu/NSD biologi/NSD yang/S-- terlibat/VSP adalah/VSA,C2-Memahami
"Jurassic Park, film Hollywood terkenal, mengisahkan kehidupan hewan purba. Ilmu biologi yang berperan adalah",012v003,"0,50",2,"Jurassic/X-- Park/X-- ,/Z-- film/NSD Hollywood/X-- terkenal/ASP ,/Z-- mengisahkan/VSA kehidupan/NSD hewan/NSD purba/ASP ./Z-- Ilmu/NSD biologi/NSD yang/S-- berperan/VSA adalah/VSA",C2-Memahami
Manfaat biologi di bidang peternakan adalah,014v001,"0,39",2,Manfaat/NSD biologi/NSD di/R-- bidang/NSD peternakan/NSD adalah/VSA,C1-Mengingat
Berikut manfaat biologi di bidang peternakan adalah,014v002,"0,07",3,Berikut/NSD manfaat/NSD biologi/NSD di/R-- bidang/NSD peternakan/NSD adalah/VSA,C1-Mengingat
Biologi memberikan manfaat berikut dalam peternakan,014v003,"0,83",1,Biologi/NSD memberikan/VSA manfaat/NSD berikut/NSD dalam/R-- peternakan/NSD,C1-Mengingat
Peneliti mengamati perilaku harimau Sumatera. Pengamatan ini dilakukan pada tingkat,015v001,"0,39",2,Peneliti/NSD mengamati/VSA perilaku/NSD harimau/NSD Sumatera/X-- ./Z-- Pengamatan/NSD ini/T-- dilakukan/VSP pada/R-- tingkat/NSD,C2-Memahami
Sekelompok peneliti melakukan pengamatan terhadap perilaku sekumpulan harimau Sumatera (Panthera tigris sumatrae). Pengamatan yang dilakukan oleh sekelompok ini dilakukan pada tingkat,015v002,"0,67",2,Sekelompok/NSD peneliti/NSD melakukan/VSA pengamatan/NSD terhadap/R-- perilaku/NSD sekumpulan/NSD harimau/NSD Sumatera/X-- (/Z-- Panthera/X-- tigris/X-- sumatrae/X-- )/Z-- ./Z-- Pengamatan/NSD yang/S-- dilakukan/VSP oleh/R-- sekelompok/NSD ini/T-- dilakukan/VSP pada/R-- tingkat/NSD,C2-Memahami
Peneliti mempelajari perilaku harimau Sumatera. Studi ini dilakukan pada tingkat,015v003,"0,67",2,Peneliti/NSD mempelajari/VSA perilaku/NSD harimau/NSD Sumatera/X-- ./Z-- Studi/NSD ini/T-- dilakukan/VSP pada/R-- tingkat/NSD,C2-Memahami
Tumbuhan yang termasuk dalam tingkatan satu gen adalah,018v001,"0,57",2,Tumbuhan/NSD yang/S-- termasuk/VSA dalam/R-- tingkatan/NSD satu/O-- gen/NSD adalah/VSA,C1-Mengingat
Kelompok tumbuhan yang merupakan tingkatan satu gen adalah,018v002,"0,71",1,Kelompok/NSD tumbuhan/NSD yang/S-- merupakan/VSA tingkatan/NSD satu/O-- gen/NSD adalah/VSA  ,C1-Mengingat
Kelompok tumbuhan di tingkatan satu gen adalah,018v003,"0,50",2,Kelompok/NSD tumbuhan/NSD di/R-- tingkatan/NSD satu/O-- gen/NSD adalah/VSA  ,C1-Mengingat
Beberapa bakteri hidup bebas di lingkungan dan bisa membuat makanannya sendiri. Sifat hidup seperti ini disebut,022v001,"0,59",2,Beberapa/O-- bakteri/NSD hidup/VSA bebas/ASP di/R-- lingkungan/NSD dan/CC- bisa/VSA membuat/VSA makanannya/NSD PAD/PAD sendiri/ASP ./Z-- Sifat/NSD hidup/VSA seperti/R-- ini/T-- disebut/VSP  ,C1-Mengingat
Bakteri tertentu dapat hidup bebas di lingkungan dan membuat makanannya sendiri. Sifat hidup seperti ini disebut,022v002,"0,60",2,Bakteri/NSD tertentu/ASP dapat/VSA hidup/VSA bebas/ASP di/R-- lingkungan/NSD dan/CC- membuat/VSA makanannya/NSD PAD/PAD sendiri/ASP ./Z-- Sifat/NSD hidup/VSA seperti/R-- ini/T-- disebut/VSP  ,C1-Mengingat
Sebagian bakteri hidup bebas di lingkungan dan dapat menyintesis makanannya sendiri. Sifat hidup seperti ini disebut,022v003,"0,86",1,Sebagian/O-- bakteri/NSD hidup/VSA bebas/ASP di/R-- lingkungan/NSD dan/CC- dapat/VSA menyintesis/VSA makanannya/NSD PAD/PAD sendiri/ASP ./Z-- Sifat/NSD hidup/VSA seperti/R-- ini/T-- disebut/VSP  ,C1-Mengingat
Bakteri ini membantu dalam pertanian dengan hidup bersama akar tumbuhan kacang-kacangan. Bakteri ini adalah,028v001,"0,36",2,Bakteri/NSD ini/T-- membantu/VSA dalam/R-- pertanian/NSD dengan/R-- hidup/VSA bersama/R-- akar/NSD tumbuhan/NSD kacang-kacangan/NSD PAD/PAD PAD/PAD ./Z-- Bakteri/NSD ini/T-- adalah/VSA  ,C1-Mengingat
Bakteri ini berkolaborasi dengan akar tumbuhan kacang-kacangan untuk meningkatkan hasil pertanian. Bakteri ini disebut,028v002,"0,50",2,Bakteri/NSD ini/T-- berkolaborasi/VSA dengan/R-- akar/NSD tumbuhan/NSD kacang-kacangan/NSD PAD/PAD PAD/PAD untuk/R-- meningkatkan/VSA hasil/NSD pertanian/NSD ./Z-- Bakteri/NSD ini/T-- disebut/VSP  ,C1-Mengingat
Bakteri ini bekerja sama dengan akar tumbuhan kacang-kacangan untuk memperbaiki hasil pertanian. Bakteri ini adalah,028v003,"0,29",3,Bakteri/NSD ini/T-- bekerja/VSA sama/ASP dengan/R-- akar/NSD tumbuhan/NSD kacang-kacangan/NSD PAD/PAD PAD/PAD untuk/R-- memperbaiki/VSA hasil/NSD pertanian/NSD ./Z-- Bakteri/NSD ini/T-- adalah/VSA,C1-Mengingat
Hewan-hewan yang termasuk dalam fauna tipe Australis adalah,030v001,"0,67",2,Hewan-hewan/NSD PAD/PAD PAD/PAD yang/S-- termasuk/VSA dalam/R-- fauna/NSD tipe/NSD Australis/X-- adalah/VSA  ,C1-Mengingat
Contoh hewan yang merupakan bagian dari fauna tipe Australis adalah,030v002,"0,60",2,Contoh/NSD hewan/NSD yang/S-- merupakan/VSA bagian/NSD dari/R-- fauna/NSD tipe/NSD Australis/X-- adalah/VSA  ,C1-Mengingat
Fauna tipe Australis mencakup hewan-hewan seperti,030v003,"1,00",1,Fauna/NSD tipe/NSD Australis/X-- mencakup/VSA hewan-hewan/NSD PAD/PAD PAD/PAD seperti/R--  ,C1-Mengingat
Garis yang membatasi jenis hewan di Indonesia bagian timur dari bagian tengah adalah,031v001,"0,43",2,Garis/NSD yang/S-- membatasi/VSA jenis/NSD hewan/NSD di/R-- Indonesia/X-- bagian/NSD timur/NSD dari/R-- bagian/NSD tengah/NSD adalah/VSA  ,C1-Mengingat
Garis yang memisahkan jenis hewan di timur dan tengah Indonesia adalah,031v002,"0,67",2,Garis/NSD yang/S-- memisahkan/VSA jenis/NSD hewan/NSD di/R-- timur/NSD dan/CC- tengah/NSD Indonesia/X-- adalah/VSA  ,C1-Mengingat
Garis pemisah antara fauna (hewan) di Indonesia bagian timur dan bagian tengah adalah,031v003,"0,60",2,Garis/NSD pemisah/NSD antara/R-- fauna/NSD (/Z-- hewan/NSD )/Z-- di/R-- Indonesia/X-- bagian/NSD timur/NSD dan/CC- bagian/NSD tengah/NSD adalah/VSA  ,C1-Mengingat
Tanaman yang khas di Indonesia bagian Timur termasuk,032v001,"0,36",2,Tanaman/NSD yang/S-- khas/ASP di/R-- Indonesia/X-- bagian/NSD Timur/X-- termasuk/VSA  ,C1-Mengingat
Flora yang khas di wilayah Timur Indonesia meliputi,032v002,"0,25",3,Flora/NSD yang/S-- khas/ASP di/R-- wilayah/NSD Timur/X-- Indonesia/X-- meliputi/VSA  ,C1-Mengingat
Tanaman-tanaman yang khas di bagian Timur Indonesia adalah,032v003,"0,22",3,Tanaman-tanaman/NSD PAD/PAD PAD/PAD yang/S-- khas/ASP di/R-- bagian/NSD Timur/X-- Indonesia/X-- adalah/VSA  ,C1-Mengingat
Pilihlah aktivitas manusia yang tidak bisa menyebabkan punahnya hewan atau tumbuhan,033v001,"0,58",2,Pilihlah/VSA PAD/PAD aktivitas/NSD manusia/NSD yang/S-- tidak/B-- bisa/VSA menyebabkan/VSA punahnya/NSD PAD/PAD hewan/NSD atau/CC- tumbuhan/NSD  ,C2-Memahami
Mana di antara aktivitas manusia berikut yang tidak dapat menyebabkan punahnya hewan atau tumbuhan,033v002,"0,57",2,Mana/H-- di/R-- antara/R-- aktivitas/NSD manusia/NSD berikut/NSD yang/S-- tidak/B-- dapat/VSA menyebabkan/VSA punahnya/NSD PAD/PAD hewan/NSD atau/CC- tumbuhan/NSD ,C2-Memahami
Pilihlah aktivitas manusia yang tidak berpotensi menyebabkan punahnya hewan atau tumbuhan,033v003,"0,50",2,Pilihlah/VSA PAD/PAD aktivitas/NSD manusia/NSD yang/S-- tidak/B-- berpotensi/VSA menyebabkan/VSA punahnya/NSD PAD/PAD hewan/NSD atau/CC- tumbuhan/NSD  ,C2-Memahami
Salah satu cara untuk menjaga keanekaragaman hayati adalah,034v001,"0,41",2,Salah/ASP satu/O-- cara/NSD untuk/R-- menjaga/VSA keanekaragaman/NSD hayati/NSD adalah/VSA  ,C1-Mengingat
Cara untuk menjaga keanekaragaman hayati adalah,034v002,"0,90",1,Cara/NSD untuk/R-- menjaga/VSA keanekaragaman/NSD hayati/NSD adalah/VSA  ,C1-Mengingat
Upaya untuk mempertahankan keanekaragaman hayati adalah,034v003,"0,40",2,Upaya/NSD untuk/R-- mempertahankan/VSA keanekaragaman/NSD hayati/NSD adalah/VSA  ,C1-Mengingat
Hal-hal yang membentuk keanekaragaman sifat manusia adalah,035v001,"0,41",2,Hal-hal/NSD PAD/PAD PAD/PAD yang/S-- membentuk/VSA keanekaragaman/NSD sifat/NSD manusia/NSD adalah/VSA  ,C1-Mengingat
Faktor-faktor yang membentuk perbedaan sifat termasuk,036v002,"0,38",2,Faktor-faktor/NSD PAD/PAD PAD/PAD yang/S-- membentuk/VSA perbedaan/NSD sifat/NSD termasuk/VSA  ,C1-Mengingat
Apa saja yang membentuk keanekaragaman adalah,036v003,"0,75",1,Apa/H-- saja/B-- yang/S-- membentuk/VSA keanekaragaman/NSD adalah/VSA  ,C1-Mengingat
Dua individu dalam satu jenis memiliki faktor genetik yang sama tetapi memiliki ciri-ciri fisik yang berbeda. Hal ini bisa disebabkan oleh,037v001,"0,19",3,Dua/O-- individu/NSD dalam/R-- satu/O-- jenis/NSD memiliki/VSA faktor/NSD genetik/ASP yang/S-- sama/ASP tetapi/CC- memiliki/VSA ciri-ciri/NSD PAD/PAD PAD/PAD fisik/ASP yang/S-- berbeda/ASP ./Z-- Hal/NSD ini/T-- bisa/VSA disebabkan/VSP oleh/R--  ,C2-Memahami
Faktor genetik yang sama pada dua individu dari satu jenis namun dengan fenotip yang berbeda bisa disebabkan oleh,037v002,"0,80",1,Faktor/NSD genetik/ASP yang/S-- sama/ASP pada/R-- dua/O-- individu/NSD dari/R-- satu/O-- jenis/NSD namun/CC- dengan/R-- fenotip/NSD yang/S-- berbeda/ASP bisa/VSA disebabkan/VSP oleh/R--  ,C2-Memahami
Alasan dua individu dari satu jenis memiliki genetika yang serupa tetapi fenotip yang berbeda bisa karena,037v003,"0,57",2,Alasan/NSD dua/O-- individu/NSD dari/R-- satu/O-- jenis/NSD memiliki/VSA genetika/NSD yang/S-- serupa/ASP tetapi/CC- fenotip/NSD yang/S-- berbeda/ASP bisa/VSA karena/R--  ,C2-Memahami
Contoh tingkat keanekaragaman jenis adalah,038v001,"0,77",1,Contoh/NSD tingkat/NSD keanekaragaman/NSD jenis/NSD adalah/VSA  ,C1-Mengingat
Kelompok yang merupakan tingkatan keanekaragaman jenis adalah,038v002,"0,63",2,Kelompok/NSD yang/S-- merupakan/VSA tingkatan/NSD keanekaragaman/NSD jenis/NSD adalah/VSA  ,C1-Mengingat
Contoh keanekaragaman jenis adalah,038v003,"0,75",1,Contoh/NSD keanekaragaman/NSD jenis/NSD adalah/VSA  ,C1-Mengingat
"Ekosistem di darat dengan curah hujan sedikit, penguapan tinggi, tanaman berdaun kecil dan jarum, serta hewan reptil, disebut sebagai",039v001,"0,27",3,"Ekosistem/NSD di/R-- darat/NSD dengan/R-- curah/NSD hujan/NSD sedikit/ASP ,/Z-- penguapan/NSD tinggi/ASP ,/Z-- tanaman/NSD berdaun/VSA kecil/ASP dan/CC- jarum/NSD ,/Z-- serta/CC- hewan/NSD reptil/NSD ,/Z-- disebut/VSP sebagai/R--  ",C1-Mengingat
"Bioma yang terdapat di darat dengan sedikit hujan, banyak penguapan, tanaman kecil berdaun jarum, dan hewan seperti reptil, dikenal sebagai",039v002,"0,63",2,"Bioma/NSD yang/S-- terdapat/VSA di/R-- darat/NSD dengan/R-- sedikit/ASP hujan/NSD ,/Z-- banyak/ASP penguapan/NSD ,/Z-- tanaman/NSD kecil/ASP berdaun/VSA jarum/NSD ,/Z-- dan/CC- hewan/NSD seperti/R-- reptil/NSD ,/Z-- dikenal/VSP sebagai/R--  ",C2-Memahami
"Di darat, ekosistem dengan sedikit hujan, banyak penguapan, tanaman kecil berdaun jarum, dan reptil adalah contoh dari",039v003,"0,50",2,"Di/R-- darat/NSD ,/Z-- ekosistem/NSD dengan/R-- sedikit/ASP hujan/NSD ,/Z-- banyak/ASP penguapan/NSD ,/Z-- tanaman/NSD kecil/ASP berdaun/VSA jarum/NSD ,/Z-- dan/CC- reptil/NSD adalah/VSA contoh/NSD dari/R--  ",C2-Memahami
Tanaman Melanesia yang sering ditemukan di wilayah Indonesia Timur adalah,044v001,"0,53",2,Tanaman/NSD Melanesia/NSD yang/S-- sering/B-- ditemukan/VSP di/R-- wilayah/NSD Indonesia/NSD Timur/NSD adalah/VSA  ,C1-Mengingat
Flora Melanesia yang banyak ada di bagian timur Indonesia adalah,044v002,"0,67",2,Flora/NSD Melanesia/NSD yang/S-- banyak/B-- ada/VSA di/R-- bagian/NSD timur/NSD Indonesia/NSD adalah/VSA  ,C1-Mengingat
Tanaman-tanaman Melanesia yang tersebar luas di wilayah Indonesia Timur adalah,044v003,"0,40",2,Tanaman-tanaman/NSD PAD/PAD PAD/PAD Melanesia/NSD yang/S-- tersebar/VSP luas/ASP di/R-- wilayah/NSD Indonesia/NSD Timur/NSD adalah/VSA  ,C1-Mengingat
Hewan-hewan khas Indonesia contohnya,045v001,"0,57",2,Hewan-hewan/NSD PAD/PAD PAD/PAD khas/ASP Indonesia/NSD contoh/NSD -nya/G--  ,C1-Mengingat
Fauna unik yang hidup secara alami di Indonesia seperti,045v002,"0,40",2,Fauna/NSD unik/ASP yang/S-- hidup/VSA secara/B-- alami/ASP di/R-- Indonesia/NSD seperti/R--  ,C1-Mengingat
Hewan endemik yang ada di Indonesia,045v003,"0,43",2,Hewan/NSD endemik/ASP yang/S-- ada/VSA di/R-- Indonesia/NSD  ,C1-Mengingat
Sistem klasifikasi yang memperhitungkan hubungan kekerabatan adalah,047v001,"0,47",2,Sistem/NSD klasifikasi/NSD yang/S-- memperhitungkan/VSA hubungan/NSD kekerabatan/NSD adalah/VSA  ,C1-Mengingat
Cara klasifikasi yang memperhatikan hubungan kekerabatan disebut sebagai,047v002,"0,40",2,Cara/NSD klasifikasi/NSD yang/S-- memperhatikan/VSA hubungan/NSD kekerabatan/NSD disebut/VSP sebagai/R--  ,C1-Mengingat
Sistem klasifikasi dengan memperhatikan hubungan kekerabatan disebut,047v003,"0,57",2,Sistem/NSD klasifikasi/NSD dengan/R-- memperhatikan/VSA hubungan/NSD kekerabatan/NSD disebut/VSP  ,C1-Mengingat
Sistem klasifikasi pertama yang dikembangkan oleh ilmuwan adalah,050v001,"0,40",2,Sistem/NSD klasifikasi/NSD pertama/O-- yang/S-- dikembangkan/VSP oleh/R-- ilmuwan/NSD adalah/VSA  ,C1-Mengingat
Sistem klasifikasi awal yang dikembangkan oleh ilmuwan adalah,050v002,"0,50",2,Sistem/NSD klasifikasi/NSD awal/ASP yang/S-- dikembangkan/VSP oleh/R-- ilmuwan/NSD adalah/VSA  ,C1-Mengingat
Sistem klasifikasi pertama yang dikembangkan oleh ilmuwan adalah,050v003,"0,00",3,Sistem/NSD klasifikasi/NSD pertama/O-- yang/S-- dikembangkan/VSP oleh/R-- ilmuwan/NSD adalah/VSA  ,C1-Mengingat
"Sistem pengelompokan dapat disederhanakan dengan mempertimbangkan manfaatnya. Misalnya, tanaman seperti bunga mawar, melati, kuping gajah, dan aglonema dapat dikelompokkan bersama",058v001,"0,65",2,"Sistem/NSD pengelompokan/NSD dapat/VSA disederhanakan/VSP dengan/R-- mempertimbangkan/VSA manfaatnya/NSD PAD/PAD ./Z-- Misalnya/Y-- PAD/PAD ,/Z-- tanaman/NSD seperti/R-- bunga/NSD mawar/NSD ,/Z-- melati/NSD ,/Z-- kuping/NSD gajah/NSD ,/Z-- dan/CC- aglonema/NSD dapat/VSA dikelompokkan/VSP bersama/B--  ",C2-Memahami
"Pengklasifikasian sederhana dapat dilakukan berdasarkan manfaatnya. Sebagai contoh, tanaman seperti bunga mawar, melati, kuping gajah, dan aglonema dapat ditempatkan dalam satu kelompok",058v002,"1,00",1,"Pengklasifikasian/NSD sederhana/ASP dapat/VSA dilakukan/VSP berdasarkan/R-- manfaatnya/NSD PAD/PAD ./Z-- Sebagai/R-- contoh/NSD ,/Z-- tanaman/NSD seperti/R-- bunga/NSD mawar/NSD ,/Z-- melati/NSD ,/Z-- kuping/NSD gajah/NSD ,/Z-- dan/CC- aglonema/NSD dapat/VSA ditempatkan/VSP dalam/R-- satu/O-- kelompok/NSD  ",C2-Memahami
